id,question_id,job_band_id,training_name,training_link
Training129,Question20,3,Improving Your Leadership Communications,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/improving-your-leadership-communications?trk=share_ent_url&shareId=4Cavo6MpT6CcINYeSDUWMw==
Training130,Question20,3,Effective Listening,
Training131,Question20,3,How to Resolve Conflict and Boost Productivity through Deep Listening,
Training132,Question21,3,Project Management Foundations: Requirements,
Training133,Question21,3,Project Management Foundations: Schedules,
Training134,Question21,3,Project Management Foundations: Budgets,
Training135,Question21,3,Project Management Foundations: Teams,
Training136,Question21,3,Project Management Foundations: Communications,
Training137,Question21,3,Project Management Foundations: Risk,
Training138,Question21,3,Managing Project Stakeholders,
Training139,Question21,3,Microsoft Project Quick Tips,
Training140,Question21,3,Agile at Work: Driving Productive Agile Meetings,
Training141,Question21,3,Agile at Work: Getting Better with Agile Retrospectives,
Training142,Question21,3,Transitioning from Waterfall to Agile Project Management,
Training143,Question21,3,Agile at Work: Building Your Agile Team,
Training144,Question21,3,Advice for Leaders during a Crisis,
Training145,Question22,3,Critical Thinking for Better Judgement and Decision-Making,
Training146,Question22,3,Using Questions to Foster Critical Thinking and Curiosity,
Training147,Question22,3,Acting Decisively,
Training148,Question22,3,Making Better Decisions by Thinking in Bets,
Training149,Question23,3,Change Navigator,
Training150,Question23,3,Change Practitioner,
Training151,Question23,3,Leading in Uncertain Times,
Training152,Question23,3,Building Resilience as a Leader,
Training153,Question23,3,Developing Adaptability as a Manager,
Training154,Question24,3,,
Training155,Question1,4,,
Training156,Question2,4,,
Training157,Question3,4,,
Training158,Question4,4,,
Training159,Question5,4,,
Training160,Question6,4,,
Training161,Question9,4,,
Training162,Question7,4,,
Training163,Question8,4,,
Training164,Question10,4,,
Training165,Question11,4,,
Training166,Question12,4,,
Training167,Question13,4,,
Training168,Question14,4,,
Training169,Question15,4,Advanced Business Development: Communication and Negotiation,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/advanced-business-development-communication-and-negotiation?trk=share_ent_url&shareId=MuUzx%2BsjQ36I5RzhRrw2Fg==
Training170,Question16,4,,
Training171,Question17,4,,
Training172,Question18,4,,
Training173,Question19,4,Acting Decisively,
Training174,Question20,4,Leading a Customer-Centric Culture,
Training175,Question20,4,Why Trust Matters with Rachel Botsman,
Training176,Question20,4,Advanced Business Development: Communication and Negotiation,
Training177,Question20,4,Improving Your Leadership Communications,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/improving-your-leadership-communications?trk=share_ent_url&shareId=4Cavo6MpT6CcINYeSDUWMw==
Training178,Question20,4,Effective Listening (LI),
Training179,Question21,4,Microsoft Project Quick Tips,
Training180,Question21,4,Managing Project Stakeholders ,
Training181,Question21,4,Advanced Business Development: Communication and Negotiation,
Training182,Question21,4,Leading in Crisis,
Training183,Question21,4,Advice for Leaders during a Crisis,
Training184,Question22,4,Critical Thinking for Better Judgement and Decision-Making,
Training185,Question22,4,Acting Decisively,
Training186,Question22,4,Making Better Decisions by Thinking in Bets,
Training187,Question23,4,Change Practitioner,
Training188,Question23,4,Manager as Coach,
Training189,Question23,4,Leading in Uncertain Times,
Training190,Question23,4,Building Resilience as a Leader,
Training191,Question23,4,Developing Adaptability as a Manager,
Training192,Question23,4,Listen to Lead,
Training193,Question24,4,,
