id,level,job_band_id,job_family_id,question_id
competency273,x,4,investorrelations,Question9
competency274,F,4,investorrelations,Question10
competency275,F,4,investorrelations,Question11
competency276,F,4,investorrelations,Question12
competency277,F,4,investorrelations,Question13
competency278,F,4,investorrelations,Question14
competency279,x,4,investorrelations,Question15
competency280,E,4,investorrelations,Question16
competency281,E,4,investorrelations,Question17
competency282,E,4,investorrelations,Question18
competency283,A,4,investorrelations,Question19
competency284,E,4,investorrelations,Question20
competency285,I,4,investorrelations,Question21
competency286,E,4,investorrelations,Question22
competency287,F,4,investorrelations,Question23
competency288,F,4,investorrelations,Question24
competency289,F,1,internalaudit,Question1
competency290,F,1,internalaudit,Question2
competency291,F,1,internalaudit,Question3
competency292,F,1,internalaudit,Question4
competency293,F,1,internalaudit,Question5
competency294,F,1,internalaudit,Question6
competency295,F,1,internalaudit,Question7
competency296,F,1,internalaudit,Question8
competency297,F,1,internalaudit,Question9
competency298,F,1,internalaudit,Question10
competency299,F,1,internalaudit,Question11
competency300,F,1,internalaudit,Question12
competency301,F,1,internalaudit,Question13
competency302,F,1,internalaudit,Question14
competency303,x,1,internalaudit,Question15
competency304,F,1,internalaudit,Question16
competency305,F,1,internalaudit,Question17
competency306,F,1,internalaudit,Question18
competency307,F,1,internalaudit,Question19
competency308,F,1,internalaudit,Question20
competency309,F,1,internalaudit,Question21
competency310,F,1,internalaudit,Question22
competency311,F,1,internalaudit,Question23
competency312,F,1,internalaudit,Question24
competency313,I,2,internalaudit,Question1
competency314,F,2,internalaudit,Question2
competency315,F,2,internalaudit,Question3
competency316,F,2,internalaudit,Question4
competency317,F,2,internalaudit,Question5
competency318,F,2,internalaudit,Question6
competency319,I,2,internalaudit,Question7
competency320,I,2,internalaudit,Question8
competency321,F,2,internalaudit,Question9
competency322,I,2,internalaudit,Question10
competency323,I,2,internalaudit,Question11
competency324,I,2,internalaudit,Question12
competency325,I,2,internalaudit,Question13
competency326,F,2,internalaudit,Question14
competency327,x,2,internalaudit,Question15
competency328,I,2,internalaudit,Question16
competency329,I,2,internalaudit,Question17
competency330,I,2,internalaudit,Question18
competency331,I,2,internalaudit,Question19
competency332,I,2,internalaudit,Question20
competency333,I,2,internalaudit,Question21
competency334,I,2,internalaudit,Question22
competency335,I,2,internalaudit,Question23
competency336,F,2,internalaudit,Question24
competency337,A,3,internalaudit,Question1
competency338,F,3,internalaudit,Question2
competency339,F,3,internalaudit,Question3
competency340,F,3,internalaudit,Question4
competency341,F,3,internalaudit,Question5
competency342,F,3,internalaudit,Question6
competency343,A,3,internalaudit,Question7
competency344,A,3,internalaudit,Question8
competency345,F,3,internalaudit,Question9
competency346,I,3,internalaudit,Question10
competency347,A,3,internalaudit,Question11
competency348,A,3,internalaudit,Question12
competency349,I,3,internalaudit,Question13
competency350,F,3,internalaudit,Question14
competency351,x,3,internalaudit,Question15
competency352,A,3,internalaudit,Question16
competency353,A,3,internalaudit,Question17
competency354,A,3,internalaudit,Question18
competency355,A,3,internalaudit,Question19
competency356,A,3,internalaudit,Question20
competency357,A,3,internalaudit,Question21
